Date,Open,High,Low,Close,Adj Close,Volume
6/20/05,2081.050049,2106.570068,2050.76001,2053.27002,2053.27002,8794510000
6/27/05,2050.300049,2076.159912,2039.689941,2057.370117,2057.370117,7580560000
7/4/05,2052.100098,2113.909912,2050.300049,2112.879883,2112.879883,6335520000
7/11/05,2115.97998,2164.179932,2115.570068,2156.780029,2156.780029,8375590000
7/18/05,2151.840088,2193.189941,2144.780029,2179.73999,2179.73999,8592250000
7/25/05,2179.040039,2201.389893,2165.929932,2184.830078,2184.830078,8222750000
8/1/05,2191.48999,2219.909912,2175.909912,2177.909912,2177.909912,8043260000
8/8/05,2182.98999,2185.909912,2144.600098,2156.899902,2156.899902,7842660000
8/15/05,2153.709961,2173.659912,2133.080078,2135.560059,2135.560059,7035840000
8/22/05,2140.949951,2156.129883,2118.040039,2120.77002,2120.77002,6980210000
8/29/05,2112.439941,2157.320068,2112.25,2141.070068,2141.070068,7090510000
9/5/05,2147.310059,2177.22998,2147.310059,2175.51001,2175.51001,6079620000
9/12/05,2176.469971,2186.830078,2142.72998,2160.350098,2160.350098,9160050000
9/19/05,2157.370117,2162.139893,2093.060059,2116.840088,2116.840088,8519230000
9/26/05,2127.899902,2151.689941,2107.699951,2151.689941,2151.689941,8277410000
10/3/05,2152.699951,2167,2069.040039,2090.350098,2090.350098,9275760000
10/10/05,2091.679932,2093.22998,2025.579956,2064.830078,2064.830078,8578940000
10/17/05,2065.540039,2096.429932,2042.030029,2082.209961,2082.209961,8188690000
10/24/05,2089.51001,2121.360107,2063.810059,2089.879883,2089.879883,8587750000
10/31/05,2094.370117,2172.679932,2094.370117,2169.429932,2169.429932,9992140000
11/7/05,2174.25,2205.360107,2162.649902,2202.469971,2202.469971,8207600000
11/14/05,2203.790039,2234.300049,2176.540039,2227.070068,2227.070068,8595640000
11/21/05,2226.620117,2269.300049,2219.25,2263.01001,2263.01001,5739580000
11/28/05,2263.550049,2273.610107,2230.189941,2273.370117,2273.370117,8957930000
12/5/05,2269.070068,2278.159912,2233.73999,2256.72998,2256.72998,8748580000
12/12/05,2263.969971,2271.850098,2247.320068,2252.47998,2252.47998,9328580000
12/19/05,2254.639893,2256.030029,2213.52002,2249.419922,2249.419922,7555730000
12/26/05,2253.050049,2259.679932,2200.51001,2205.320068,2205.320068,4941440000
1/2/06,2216.530029,2306.719971,2189.909912,2305.620117,2305.620117,8011250000
1/9/06,2306.179932,2332.919922,2303.129883,2317.040039,2317.040039,10103770000
1/16/06,2302.560059,2311.709961,2245.199951,2247.699951,2247.699951,8635450000
1/23/06,2255.310059,2314.360107,2241.02002,2304.22998,2304.22998,10894680000
1/30/06,2306.23999,2313.97998,2255.98999,2262.580078,2262.580078,10949090000
2/6/06,2263.120117,2284.52002,2235.409912,2261.879883,2261.879883,10407520000
2/13/06,2252.040039,2294.629883,2232.679932,2282.360107,2282.360107,9139460000
2/20/06,2283.52002,2293.73999,2256.75,2287.040039,2287.040039,6909470000
2/27/06,2291.47998,2324.919922,2276.73999,2302.600098,2302.600098,10503540000
3/6/06,2306.659912,2309.51001,2239.540039,2262.040039,2262.040039,9814890000
3/13/06,2269.439941,2323.790039,2263.679932,2306.47998,2306.47998,10536180000
